,States/UTs,2016-17,2017-18,2018-19,2019-20,2020-21
1,Andhra Pradesh,82863,NA,66314,46222,39626.45
2,Arunachal Pradesh,NA,6,3787.37,2721,3755.9
3,Assam,24030,NA,32277.87,24971,58765
4,Bihar,2280,2280,68903.328,41365,74263.69
5,Chhattisgarh,7300,NA,6000,32850,47450
6,Goa,NA,NA,32580.52,26068,29441
7,Gujarat,269294.88,269808,356873,408201,337693.96
8,Haryana,23369.09,NA,68735.26,147734,185168
9,Himachal Pradesh,255,NA,3672,13683,6206.78
10,Jammu & Kashmir,NA,27870,34367.37,74826.33,51710.6
11,Jharkhand,NA,NA,51454.53,43332,20263.45
12,Karnataka,419600,NA,272776,296380,368080
13,Kerala,NA,NA,133316,131400,120063.87
14,Madhya  Pradesh,50457.07,61037,72327.39,121079,138483.58
15,Maharashtra,21420.33,NA,409630,443724,311254
16,Manipur,NA,24,12453.8,8293,10303
17,Meghalaya,13.265,15.096,1263,5043,
18,Mizoram,NA,NA,13.306,7909,1514.51
19,Nagaland,NA,14052.5,268.18,565,4785.94
20,Odisha,6890.805,12092.205,90138.98,45339.4,51269.9
21,Punjab,163423.4,54066.1,119414.64,92890,108332.06
22,Rajasthan,NA,NA,104704.383,51966,66324.57
23,Sikkim,102.7,NA,5.66,69,82.75
24,Tamil Nadu,79114.792,NA,401091,431472,430107
25,Telangana,NA,NA,183014.65,233655,472675
26,Tripura,30,28.5,26.2,32,61.65
27,Uttar Pradesh,152492.6445,206733.4505,254401.8,161148,375950
28,Uttarakhand,NA,NA,31093,25203,18647.75
29,West Bengal,NA,NA,300236.12,300236,417925
30,Andaman and Nicobar Islands,365,NA,1850,387,492.342
31,Dadra and Nagar Haveli and Daman and Diu,NA,NA,1947.7,1948,4726
32,Chandigarh,21516.75,12775,11715.4,6746,13107.15
33,Lakshadweep,NA,NA,148,46,523.54
34,Delhi NCR,232732,NA,224810,230525,345000
35,Puducherry,9252.25,NA,8433,11753,12754
